movie_id,movie_title,release_date,unknown,Action,Adventure,Animation,Childrens,Comedy,Crime,Documentary,Drama,Fantasy,Film_Noir,Horror,Musical,Mystery,Romance,Sci_Fi,Thriller,War,Western
1,Toy Story (1995),1-Jan-95,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2,GoldenEye (1995),1-Jan-95,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
3,Four Rooms (1995),1-Jan-95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
4,Get Shorty (1995),1-Jan-95,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
5,Copycat (1995),1-Jan-95,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0
6,Shanghai Triad (Yao a yao yao dao waipo qiao) (1995),1-Jan-95,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
7,Twelve Monkeys (1995),1-Jan-95,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
8,Babe (1995),1-Jan-95,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0
9,Dead Man Walking (1995),1-Jan-95,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
10,Richard III (1995),22-Jan-96,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
11,Seven (Se7en) (1995),1-Jan-95,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
12,Usual Suspects,,,,,,,,,,,,,,,,,,,,
13,Mighty Aphrodite (1995),30-Oct-95,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
14,Postino,,,,,,,,,,,,,,,,,,,,
15,Mr. Holland's Opus (1995),29-Jan-96,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
16,French Twist (Gazon maudit) (1995),1-Jan-95,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
17,From Dusk Till Dawn (1996),5-Feb-96,0,1,0,0,0,1,1,0,0,0,0,1,0,0,0,0,1,0,0
18,White Balloon,,,,,,,,,,,,,,,,,,,,
19,Antonia's Line (1995),1-Jan-95,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
20,Angels and Insects (1995),1-Jan-95,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
21,Muppet Treasure Island (1996),16-Feb-96,0,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0
22,Braveheart (1995),16-Feb-96,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
23,Taxi Driver (1976),16-Feb-96,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
24,Rumble in the Bronx (1995),23-Feb-96,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
25,Birdcage,,,,,,,,,,,,,,,,,,,,
26,Brothers McMullen,,,,,,,,,,,,,,,,,,,,
27,Bad Boys (1995),1-Jan-95,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28,Apollo 13 (1995),1-Jan-95,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
29,Batman Forever (1995),1-Jan-95,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
30,Belle de jour (1967),1-Jan-67,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
31,Crimson Tide (1995),1-Jan-95,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0
32,Crumb (1994),1-Jan-94,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
33,Desperado (1995),1-Jan-95,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
34,Doom Generation,,,,,,,,,,,,,,,,,,,,
35,Free Willy 2: The Adventure Home (1995),1-Jan-95,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
36,Mad Love (1995),1-Jan-95,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
37,Nadja (1994),1-Jan-94,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
38,Net,,,,,,,,,,,,,,,,,,,,
39,Strange Days (1995),1-Jan-95,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
40,To Wong Foo,,,,,,,,,,,,,,,,,,,,
41,Billy Madison (1995),1-Jan-95,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
42,Clerks (1994),1-Jan-94,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
43,Disclosure (1994),1-Jan-94,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
44,Dolores Claiborne (1994),1-Jan-94,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
45,Eat Drink Man Woman (1994),1-Jan-94,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
46,Exotica (1994),1-Jan-94,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
47,Ed Wood (1994),1-Jan-94,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
48,Hoop Dreams (1994),1-Jan-94,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
49,I.Q. (1994),1-Jan-94,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
50,Star Wars (1977),1-Jan-77,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0
51,Legends of the Fall (1994),1-Jan-94,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,1
52,Madness of King George,,,,,,,,,,,,,,,,,,,,
53,Natural Born Killers (1994),1-Jan-94,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
54,Outbreak (1995),1-Jan-95,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
55,Professional,,,,,,,,,,,,,,,,,,,,
56,Pulp Fiction (1994),1-Jan-94,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
57,Priest (1994),1-Jan-94,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
58,Quiz Show (1994),1-Jan-94,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
59,Three Colors: Red (1994),1-Jan-94,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
60,Three Colors: Blue (1993),1-Jan-93,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
61,Three Colors: White (1994),1-Jan-94,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
62,Stargate (1994),1-Jan-94,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
63,Santa Clause,,,,,,,,,,,,,,,,,,,,
64,Shawshank Redemption,,,,,,,,,,,,,,,,,,,,
65,What's Eating Gilbert Grape (1993),1-Jan-93,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
66,While You Were Sleeping (1995),1-Jan-95,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
67,Ace Ventura: Pet Detective (1994),1-Jan-94,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
68,Crow,,,,,,,,,,,,,,,,,,,,
69,Forrest Gump (1994),1-Jan-94,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0
70,Four Weddings and a Funeral (1994),1-Jan-94,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
71,Lion King,,,,,,,,,,,,,,,,,,,,
72,Mask,,,,,,,,,,,,,,,,,,,,
73,Maverick (1994),1-Jan-94,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
